State Abbrev,State Name,State has Plan,Residency,Parity, Maximum Account Balance 
AL,Alabama,Yes,No,No," 475,000 "
AK,Alaska,Yes,No,No," 400,000 "
AZ,Arizona,Yes,Yes,No," 570,000 "
AR,Arkansas,Yes,No,No," 366,000 "
CA,California,Yes,No,No," 529,000 "
CO,Colorado,Yes,No,No," 500,000 "
CT,Connecticut,Yes,No,No," 550,000 "
DE,Delaware,Yes,No,No," 500,000 "
FL,Florida,Yes,Yes,No," 418,000 "
GA,Georgia,Yes,Yes,No," 235,000 "
HI,Hawaii,Yes,No,No," 350,000 "
ID,Idaho,Yes,No,No," 500,000 "
IL,Illinois,Yes,No,No," 550,000 "
IN,Indiana,Yes,No,No," 450,000 "
IA,Iowa,Yes,No,No," 505,000 "
KS,Kansas,Yes,No,No," 447,000 "
KY,Kentucky,Yes,Yes,No," 500,000 "
LA,Louisiana,Yes,Yes,No," 500,000 "
ME,Maine,Yes,Yes,No," 425,000 "
MD,Maryland,Yes,No,No," 500,000 "
MA,Massachusetts,Yes,No,No," 500,000 "
MI,Michigan,Yes,No,No," 500,000 "
MN,Minnesota,Yes,No,No," 425,000 "
MS,Mississippi,Yes,No,No," 235,000 "
MO,Missouri,Yes,Yes,No," 325,000 "
MT,Montana,Yes,No,No," 392,000 "
NE,Nebraska,Yes,No,No," 500,000 "
NV,Nevada,Yes,No,No," 500,000 "
NH,New Hampshire,Yes,No,No," 621,411 "
NJ,New Jersey,Yes,No,No," 550,000 "
NM,New Mexico,Yes,Yes,No," 500,000 "
NY,New York,Yes,No,No," 520,000 "
NC,North Carolina,Yes,No,No," 540,000 "
ND,North Dakota,No,NA,No, -   
OH,Ohio,Yes,No,No," 550,000 "
OK,Oklahoma,Yes,Yes,No," 300,000 "
OR,Oregon,Yes,No,No," 500,000 "
PA,Pennsylvania,Yes,No,No," 511,758 "
RI,Rhode Island,Yes,No,No," 520,000 "
SC,South Carolina,Yes,Yes,No," 575,000 "
SD,South Dakota,No,NA,No, -   
TN,Tennessee,Yes,Yes,No," 500,000 "
TX,Texas,Yes,Yes,No," 500,000 "
UT,Utah,Yes,Yes,No," 574,000 "
VT,Vermont,Yes,Yes,No," 550,000 "
VA,Virginia,Yes,No,No," 575,000 "
WA,Washington,Yes,Yes,No," 500,000 "
DC,Washington D.C.,Yes,No,No," 500,000 "
WV,West Virginia,Yes,Yes,No," 550,000 "
WI,Wisconsin,No,NA,Yes, -   
WY,Wyoming,Yes,Yes,No," 235,000 "
