StateCode,TaxFilingStatus, Income , Rate 
AL,Single, -   , 2.000 
AL,Single, 501 , 4.000 
AL,Single," 3,001 ", 5.000 
AL,Joint, -   , 2.000 
AL,Joint," 1,001 ", 4.000 
AL,Joint," 6,001 ", 5.000 
AL,Separate, -   , 2.000 
AL,Separate, 501 , 4.000 
AL,Separate," 3,001 ", 5.000 
AL,Head, -   , 2.000 
AL,Head, 501 , 4.000 
AL,Head," 3,001 ", 5.000 
AK,Single, -   , -   
AK,Joint, -   , -   
AK,Separate, -   , -   
AK,Head, -   , -   
AR,Single, -   , 2.000 
AR,Single," 4,401 ", 4.000 
AR,Single," 8,801 ", 4.400 
AR,Joint, -   , 2.000 
AR,Joint," 4,401 ", 4.000 
AR,Joint," 8,801 ", 4.400 
AR,Separate, -   , 2.000 
AR,Separate," 4,401 ", 4.000 
AR,Separate," 8,801 ", 4.400 
AR,Head, -   , 2.000 
AR,Head," 4,401 ", 4.000 
AR,Head," 8,801 ", 4.400 
AZ,Single, -   , 2.500 
AZ,Joint, -   , 2.500 
AZ,Separate, -   , 2.500 
AZ,Head, -   , 2.500 
CA,Single, -   , 1.000 
CA,Single," $10,757 ", 2.000 
CA,Single," $25,500 ", 4.000 
CA,Single," $40,246 ", 6.000 
CA,Single," $55,867 ", 8.000 
CA,Single," $70,607 ", 9.300 
CA,Single," $360,660 ", 10.300 
CA,Single," $432,788 ", 11.300 
CA,Single," $721,315 ", 12.300 
CA,Joint, -   , 1.000 
CA,Joint," $21,513 ", 2.000 
CA,Joint," $50,999 ", 4.000 
CA,Joint," $80,491 ", 6.000 
CA,Joint," $111,733 ", 8.000 
CA,Joint," $141,213 ", 9.300 
CA,Joint," $721,319 ", 10.300 
CA,Joint," $865,575 ", 11.300 
CA,Joint," $1,442,629 ", 12.300 
CA,Separate, -   , 1.000 
CA,Separate," $10,757 ", 2.000 
CA,Separate," $25,500 ", 4.000 
CA,Separate," $40,246 ", 6.000 
CA,Separate," $55,867 ", 8.000 
CA,Separate," $70,607 ", 9.300 
CA,Separate," $360,660 ", 10.300 
CA,Separate," $432,788 ", 11.300 
CA,Separate," $721,315 ", 12.300 
CA,Head, -   , 1.000 
CA,Head," $21,528 ", 2.000 
CA,Head," $51,001 ", 4.000 
CA,Head," $65,745 ", 6.000 
CA,Head," $81,365 ", 8.000 
CA,Head," $96,108 ", 9.300 
CA,Head," $490,494 ", 10.300 
CA,Head," $588,594 ", 11.300 
CA,Head," $980,988 ", 12.300 
CO,Single, -   , 4.400 
CO,Joint, -   , 4.400 
CO,Separate, -   , 4.400 
CO,Head, -   , 4.400 
CT,Single, -   , 2.000 
CT,Single," 10,001 ", 4.500 
CT,Single," 50,001 ", 5.500 
CT,Single," 100,001 ", 6.000 
CT,Single," 200,001 ", 6.500 
CT,Single," 250,001 ", 6.900 
CT,Single," 500,001 ", 6.990 
CT,Joint, -   , 2.000 
CT,Joint," 20,001 ", 4.500 
CT,Joint," 100,001 ", 5.500 
CT,Joint," 200,001 ", 6.000 
CT,Joint," 400,001 ", 6.500 
CT,Joint," 500,001 ", 6.900 
CT,Joint," 1,000,001 ", 6.990 
